region,date,consumption_liters,day_of_week,is_weekend,month,day,lag_1,lag_7,rolling_mean_7,rolling_std_7
Central,2023-03-04,11658.51,5,1,3,4,9555.01,18361.26,12158.385714285714,4949.252305331438
Central,2023-03-05,16300.97,6,1,3,5,11658.51,9666.48,11200.850000000002,4129.7032602718555
Central,2023-03-06,9948.57,0,0,3,6,16300.97,19398.5,12148.634285714284,4466.459475154255
Central,2023-03-07,16919.26,1,0,3,7,9948.57,9809.35,10798.644285714287,3141.6020447263154
Central,2023-03-08,11888.2,2,0,3,8,16919.26,6030.27,11814.345714285713,3840.1316869514453
Central,2023-03-09,10226.13,3,0,3,9,11888.2,12287.83,12651.192857142856,2890.42669405236
Central,2023-03-10,15188.21,4,0,3,10,10226.13,9555.01,12356.664285714285,3035.0471325711815
Central,2023-03-11,15575.81,5,1,3,11,15188.21,11658.51,13161.407142857142,2912.735641802013
Central,2023-03-12,7898.88,6,1,3,12,15575.81,16300.97,13721.021428571428,2951.9100541650864
Central,2023-03-13,11336.73,0,0,3,13,7898.88,9948.57,12520.722857142857,3401.931249705641
Central,2023-03-14,8180.11,1,0,3,14,11336.73,16919.26,12719.031428571428,3264.695036933914
Central,2023-03-15,16615.46,2,0,3,15,8180.11,11888.2,11470.581428571428,3055.0204028256394
Central,2023-03-16,10248.69,3,0,3,16,16615.46,10226.13,12145.904285714287,3630.9282900283984
Central,2023-03-17,7583.38,4,0,3,17,10248.69,15188.21,12149.127142857144,3628.9497450856384
Central,2023-03-18,17633.41,5,1,3,18,7583.38,15575.81,11062.722857142859,3705.0362114726754
Central,2023-03-19,19129.64,6,1,3,19,17633.41,7898.88,11356.665714285715,4174.624077234806
Central,2023-03-20,8042.01,0,0,3,20,19129.64,11336.73,12961.06,4743.578064949141
Central,2023-03-21,6296.97,1,0,3,21,8042.01,8180.11,12490.385714285714,5082.9299641147145
Central,2023-03-22,10766.1,2,0,3,22,6296.97,16615.46,12221.365714285714,5389.656471343532
Central,2023-03-23,14613.05,3,0,3,23,10766.1,10248.69,11385.742857142859,5036.735981207517
Central,2023-03-24,8300.73,4,0,3,24,14613.05,7583.38,12009.222857142857,5141.559216942248
Central,2023-03-25,5592.19,5,1,3,25,8300.73,17633.41,12111.701428571429,5044.883684818471
Central,2023-03-26,18147.59,6,1,3,26,5592.19,19129.64,10391.527142857143,4899.096431434113
Central,2023-03-27,11067.78,0,0,3,27,18147.59,8042.01,10251.234285714285,4612.862365284909
Central,2023-03-28,13572.09,1,0,3,28,11067.78,6296.97,10683.487142857144,4512.005696615471
Central,2023-03-29,14810.61,2,0,3,29,13572.09,10766.1,11722.789999999999,4157.13469546433
Central,2023-03-30,18996.97,3,0,3,30,14810.61,14613.05,12300.577142857142,4281.221087037021
Central,2023-03-31,16736.44,4,0,3,31,18996.97,8300.73,12926.851428571428,4945.060400576275
Central,2023-04-01,7218.42,5,1,4,1,16736.44,5592.19,14131.952857142856,4648.795787293427
Central,2023-04-02,5500.97,6,1,4,2,7218.42,18147.59,14364.271428571428,4166.5212730343255
Central,2023-04-03,14236.99,0,0,4,3,5500.97,11067.78,12557.611428571428,4925.374223066466
Central,2023-04-04,18538.52,1,0,4,4,14236.99,13572.09,13010.355714285713,4911.241194212369
Central,2023-04-05,16429.5,2,0,4,5,18538.52,14810.61,13719.845714285713,5345.452318681292
Central,2023-04-06,11207.14,3,0,4,6,16429.5,18996.97,13951.115714285714,5434.78337315253
Central,2023-04-07,11295.84,4,0,4,7,11207.14,16736.44,12838.282857142856,5010.342642157697
Central,2023-04-08,14508.65,5,1,4,8,11295.84,7218.42,12061.054285714286,4718.335007223969
Central,2023-04-09,19041.67,6,1,4,9,14508.65,5500.97,13102.515714285715,4252.905595930293
Central,2023-04-10,8321.07,0,0,4,10,19041.67,14236.99,15036.901428571427,3157.5400707165845
Central,2023-04-11,11385.97,1,0,4,11,8321.07,18538.52,14191.770000000002,4067.8241389306168
Central,2023-04-12,9749.35,2,0,4,12,11385.97,16429.5,13169.977142857142,3673.1687711643613
Central,2023-04-13,17508.76,3,0,4,13,9749.35,11207.14,12215.67,3550.9223886806235
Central,2023-04-14,18956.91,4,0,4,14,17508.76,11295.84,13115.901428571427,4020.3866206059797
Central,2023-04-15,12198.81,5,1,4,15,18956.91,14508.65,14210.34,4460.964740505497
Central,2023-04-16,8524.45,6,1,4,16,12198.81,19041.67,13880.362857142856,4520.256411925886
Central,2023-04-17,17716.59,0,0,4,17,8524.45,8321.07,12377.902857142855,4259.133654601263
Central,2023-04-18,5067.01,1,0,4,18,17716.59,11385.97,13720.119999999999,4248.0226085203385
Central,2023-04-19,9596.6,2,0,4,19,5067.01,9749.35,12817.41142857143,5354.09584010356
Central,2023-04-20,16909.53,3,0,4,20,9596.6,17508.76,12795.59,5368.974850872367
Central,2023-04-21,11438.55,4,0,4,21,16909.53,18956.91,12709.985714285713,5285.429341033882
Central,2023-04-22,5747.78,5,1,4,22,11438.55,12198.81,11635.934285714286,4511.687791355014
Central,2023-04-23,7737.67,6,1,4,23,5747.78,8524.45,10714.358571428571,5008.998229893973
Central,2023-04-24,18801.8,0,0,4,24,7737.67,17716.59,10601.961428571429,5074.723688348062
Central,2023-04-25,18027.39,1,0,4,25,18801.8,5067.01,10756.99142857143,5338.0410867078335
Central,2023-04-26,14518.63,2,0,4,26,18027.39,9596.6,12608.474285714286,5282.912410122709
Central,2023-04-27,14643.47,3,0,4,27,14518.63,16909.53,13311.621428571427,5140.871813329029
Central,2023-04-28,7470.05,4,0,4,28,14643.47,11438.55,12987.89857142857,4944.132500882324
Central,2023-04-29,10228.03,5,1,4,29,7470.05,5747.78,12420.97,5361.327462227363
Central,2023-04-30,19062.32,6,1,4,30,10228.03,7737.67,13061.005714285713,4652.472353526512
Central,2023-05-01,15420.16,0,0,5,1,19062.32,18801.8,14678.812857142857,4457.76035639988
Central,2023-05-02,17078.91,1,0,5,2,15420.16,18027.39,14195.721428571427,4105.823012870162
Central,2023-05-03,18240.75,2,0,5,3,17078.91,14518.63,14060.224285714285,3971.760139727536
Central,2023-05-04,19378.97,3,0,5,4,18240.75,14643.47,14591.955714285714,4280.513265742224
Central,2023-05-05,11443.84,4,0,5,5,19378.97,7470.05,15268.455714285714,4648.4056264696965
Central,2023-05-06,8886.86,5,1,5,6,11443.84,10228.03,15836.140000000001,3678.830084614747
Central,2023-05-07,19654.94,6,1,5,7,8886.86,19062.32,15644.544285714286,4037.0652928204086
Central,2023-05-08,14127.66,0,0,5,8,19654.94,15420.16,15729.204285714284,4125.919873470051
East,2023-01-08,17857.78,6,1,1,8,16329.11,17241.79,14877.254285714285,3786.108213944134
East,2023-01-09,6877.01,0,0,1,9,17857.78,15984.7,14965.252857142856,3856.725523799148
East,2023-01-10,17829.12,1,0,1,10,6877.01,17286.15,13664.154285714287,4861.007923373015
East,2023-01-11,9957.4,2,0,1,11,17829.12,17615.41,13741.721428571429,4932.246918695469
East,2023-01-12,18187.23,3,0,1,12,9957.4,12398.24,12647.72,4776.681373230441
East,2023-01-13,5635.14,4,0,1,13,18187.23,7285.38,13474.718571428572,5207.951515997527
East,2023-01-14,19150.84,5,1,1,14,5635.14,16329.11,13238.970000000001,5560.254677338679
East,2023-01-15,8684.84,6,1,1,15,19150.84,17857.78,13642.074285714287,5912.731780973035
East,2023-01-16,18106.06,0,0,1,16,8684.84,6877.01,12331.654285714287,5838.720974973477
East,2023-01-17,15463.68,1,0,1,17,18106.06,17829.12,13935.804285714285,5629.113492276432
East,2023-01-18,8219.51,2,0,1,18,15463.68,9957.4,13597.884285714286,5423.693079381295
East,2023-01-19,12929.02,3,0,1,19,8219.51,18187.23,13349.614285714286,5653.037500441265
East,2023-01-20,9812.18,4,0,1,20,12929.02,5635.14,12598.44142857143,5237.135779114471
East,2023-01-21,19010.03,5,1,1,21,9812.18,19150.84,13195.161428571428,4497.197454483656
East,2023-01-22,15764.87,6,1,1,22,19010.03,8684.84,13175.045714285716,4466.327097119275
East,2023-01-23,16186.97,0,0,1,23,15764.87,18106.06,14186.478571428572,4063.5110830718327
East,2023-01-24,8291.5,1,0,1,24,16186.97,15463.68,13912.322857142859,3811.942895347525
East,2023-01-25,7534.53,2,0,1,25,8291.5,8219.51,12887.725714285714,4262.702532724425
East,2023-01-26,12528.03,3,0,1,26,7534.53,12929.02,12789.871428571429,4393.579320377362
East,2023-01-27,18784.46,4,0,1,27,12528.03,9812.18,12732.587142857143,4394.076764041618
East,2023-01-28,14190.78,5,1,1,28,18784.46,19010.03,14014.34142857143,4698.290336318904
East,2023-01-29,11718.03,6,1,1,29,14190.78,15764.87,13325.877142857145,4167.332025487905
East,2023-01-30,6726.07,0,0,1,30,11718.03,16186.97,12747.757142857143,4051.684102541862
East,2023-01-31,11404.25,1,0,1,31,6726.07,8291.5,11396.199999999999,4284.515694093477
East,2023-02-01,7789.66,2,0,2,1,11404.25,7534.53,11840.878571428571,4064.4634309029766
East,2023-02-02,13903.64,3,0,2,2,7789.66,12528.03,11877.325714285715,4020.3153487873583
East,2023-02-03,7844.23,4,0,2,3,13903.64,18784.46,12073.841428571428,4090.4322827276987
East,2023-02-04,9105.29,5,1,2,4,7844.23,14190.78,10510.951428571427,3059.1026112866703
East,2023-02-05,17165.08,6,1,2,5,9105.29,11718.03,9784.452857142856,2610.517101870262
East,2023-02-06,11975.14,0,0,2,6,17165.08,6726.07,10562.602857142858,3816.305188091896
East,2023-02-07,15079.0,1,0,2,7,11975.14,11404.25,11312.47,3433.2997593277496
East,2023-02-08,18500.59,2,0,2,8,15079.0,7789.66,11837.434285714286,3718.7474501497445
East,2023-02-09,13206.44,3,0,2,9,18500.59,13903.64,13367.567142857142,3970.6950917344197
East,2023-02-10,13062.83,4,0,2,10,13206.44,7844.23,13267.967142857142,3963.7453625988405
East,2023-02-11,14682.61,5,1,2,11,13062.83,9105.29,14013.481428571427,3188.580655983834
East,2023-02-12,11837.31,6,1,2,12,14682.61,17165.08,14810.24142857143,2342.2170430557826
East,2023-02-13,16213.93,0,0,2,13,11837.31,11975.14,14049.131428571429,2314.9485817718787
East,2023-02-14,17638.82,1,0,2,14,16213.93,15079.0,14654.672857142858,2235.026885540864
East,2023-02-15,9389.84,2,0,2,15,17638.82,18500.59,15020.361428571428,2508.6867348503897
East,2023-02-16,11969.18,3,0,2,16,9389.84,13206.44,13718.825714285716,2753.5997331060867
East,2023-02-17,12433.71,4,0,2,17,11969.18,13062.83,13542.074285714287,2830.6036598156775
East,2023-02-18,10223.9,5,1,2,18,12433.71,14682.61,13452.2,2858.2091440737277
East,2023-02-19,13593.34,6,1,2,19,10223.9,11837.31,12815.24142857143,3029.9657764152416
East,2023-02-20,18435.08,0,0,2,20,13593.34,16213.93,13066.102857142858,3008.1202034643625
East,2023-02-21,7999.63,1,0,2,21,18435.08,17638.82,13383.41,3476.229663246279
East,2023-02-22,12081.92,2,0,2,22,7999.63,9389.84,12006.382857142857,3418.2886211510095
East,2023-02-23,19024.6,3,0,2,23,12081.92,11969.18,12390.965714285714,3220.5657914816616
East,2023-02-24,8078.12,4,0,2,24,19024.6,12433.71,13398.882857142858,4060.9560857705847
East,2023-02-25,15108.11,5,1,2,25,8078.12,10223.9,12776.655714285715,4539.034008831457
East,2023-02-26,11118.31,6,1,2,26,15108.11,13593.34,13474.4,4455.860675032379
East,2023-02-27,11009.88,0,0,2,27,11118.31,18435.08,13120.824285714287,4542.210713521399
East,2023-02-28,18884.88,1,0,2,28,11009.88,7999.63,12060.08142857143,3918.516154402617
East,2023-03-01,11969.35,2,0,3,1,18884.88,12081.92,13615.117142857143,4189.118251329725
East,2023-03-02,12302.08,3,0,3,2,11969.35,19024.6,13599.035714285714,4196.19502376799
East,2023-03-03,18724.1,4,0,3,3,12302.08,8078.12,12638.675714285713,3450.5464075556556
East,2023-03-04,13214.1,5,1,3,4,18724.1,15108.11,14159.529999999999,3451.578360441303
East,2023-03-05,18665.33,6,1,3,5,13214.1,11118.31,13888.957142857142,3439.038752348852
East,2023-03-06,15747.33,0,0,3,6,18665.33,11009.88,14967.102857142858,3604.681910435902
East,2023-03-07,15973.12,1,0,3,7,15747.33,18884.88,15643.881428571429,3154.5027886785856
East,2023-03-08,16418.8,2,0,3,8,15973.12,11969.35,15227.915714285715,2831.326574575115
East,2023-03-09,12545.7,3,0,3,9,16418.8,12302.08,15863.551428571429,2451.8763756929043
East,2023-03-10,8752.56,4,0,3,10,12545.7,18724.1,15898.354285714286,2393.9426080412327
East,2023-03-11,14342.74,5,1,3,11,8752.56,13214.1,14473.848571428573,3247.0188554345714
East,2023-03-12,19757.04,6,1,3,12,14342.74,18665.33,14635.082857142857,3201.745258848236
East,2023-03-13,18829.97,0,0,3,13,19757.04,15747.33,14791.04142857143,3447.9058287624825
East,2023-03-14,12796.31,1,0,3,14,18829.97,15973.12,15231.41857142857,3772.029948663492
East,2023-03-15,7460.49,2,0,3,15,12796.31,16418.8,14777.588571428572,3858.047015975955
East,2023-03-16,10807.93,3,0,3,16,7460.49,12545.7,13497.83,4631.2173203093525
East,2023-03-17,14443.46,4,0,3,17,10807.93,8752.56,13249.577142857144,4736.149056514567
East,2023-03-18,9832.65,5,1,3,18,14443.46,14342.74,14062.562857142857,4304.304434809859
East,2023-03-19,10680.47,6,1,3,19,9832.65,19757.04,13418.264285714287,4583.849165071707
East,2023-03-20,15276.87,0,0,3,20,10680.47,18829.97,12121.611428571428,3688.186514175717
East,2023-03-21,15634.92,1,0,3,21,15276.87,12796.31,11614.025714285714,2731.4952470631492
East,2023-03-22,18409.46,2,0,3,22,15634.92,7460.49,12019.541428571427,3119.430810027308
East,2023-03-23,6962.91,3,0,3,23,18409.46,10807.93,13583.680000000002,3196.4953359890906
East,2023-03-24,14164.75,4,0,3,24,6962.91,14443.46,13034.391428571427,3985.8766577648003
East,2023-03-25,18867.01,5,1,3,25,14164.75,9832.65,12994.575714285715,3970.8188829839514
East,2023-03-26,15728.65,6,1,3,26,18867.01,10680.47,14285.19857142857,4231.472838750234
East,2023-03-27,18956.82,0,0,3,27,15728.65,15276.87,15006.367142857142,3934.485767004013
East,2023-03-28,15949.99,1,0,3,28,18956.82,15634.92,15532.074285714285,4212.667394991989
East,2023-03-29,13860.55,2,0,3,29,15949.99,18409.46,15577.084285714285,4215.631516304754
East,2023-03-30,18959.34,3,0,3,30,13860.55,6962.91,14927.240000000002,4053.7503023948925
East,2023-03-31,13981.21,4,0,3,31,18959.34,14164.75,16641.015714285713,2268.091589639904
East,2023-04-01,17661.12,5,1,4,1,13981.21,18867.01,16614.795714285716,2302.2922955600725
East,2023-04-02,8902.07,6,1,4,2,17661.12,15728.65,16442.52571428571,2145.455877623355
East,2023-04-03,11559.64,0,0,4,3,8902.07,18956.82,15467.3,3589.5515742220527
East,2023-04-04,12082.56,1,0,4,4,11559.64,15949.99,14410.56,3478.156692751684
East,2023-04-05,18372.85,2,0,4,5,12082.56,13860.55,13858.069999999998,3499.963493866757
East,2023-04-06,12453.23,3,0,4,6,18372.85,18959.34,14502.684285714286,3893.862820879617
East,2023-04-07,9606.93,4,0,4,7,12453.23,13981.21,13573.24,3397.6565933694146
East,2023-04-08,15238.75,5,1,4,8,9606.93,17661.12,12948.342857142858,3699.0116333047386
East,2023-04-09,18479.47,6,1,4,9,15238.75,8902.07,12602.289999999999,3273.4678554045163
East,2023-04-10,10026.18,0,0,4,10,18479.47,11559.64,13970.490000000002,3465.0485524784967
East,2023-04-11,17246.97,1,0,4,11,10026.18,12082.56,13751.424285714285,3684.400086164444
East,2023-04-12,13625.85,2,0,4,12,17246.97,18372.85,14489.197142857143,3809.47052937244
East,2023-04-13,5837.96,3,0,4,13,13625.85,12453.23,13811.054285714286,3403.817927865987
East,2023-04-14,14979.77,4,0,4,14,5837.96,9606.93,12866.015714285715,4564.185201179055
East,2023-04-15,14700.06,5,1,4,15,14979.77,15238.75,13633.564285714285,4372.511123004175
East,2023-04-16,6221.07,6,1,4,16,14700.06,18479.47,13556.608571428571,4344.200305815515
East,2023-04-17,9075.18,0,0,4,17,6221.07,10026.18,11805.408571428572,4497.056614985065
East,2023-04-18,11817.95,1,0,4,18,9075.18,17246.97,11669.551428571429,4573.481583911859
East,2023-04-19,19052.82,2,0,4,19,11817.95,13625.85,10893.977142857144,3877.374943109978
East,2023-04-20,8605.68,3,0,4,20,19052.82,5837.96,11669.25857142857,4917.661658117022
East,2023-04-21,18028.1,4,0,4,21,8605.68,14979.77,12064.647142857142,4460.708517704758
East,2023-04-22,9967.65,5,1,4,22,18028.1,14700.06,12500.122857142856,4918.0768243718785
East,2023-04-23,17361.88,6,1,4,23,9967.65,6221.07,11824.064285714285,4890.45306180268
East,2023-04-24,18518.29,0,0,4,24,17361.88,9075.18,13415.608571428571,4565.120522762527
East,2023-04-25,7349.39,1,0,4,25,18518.29,11817.95,14764.624285714284,4462.829560569756
East,2023-04-26,10790.62,2,0,4,26,7349.39,19052.82,14126.25857142857,5211.38690417253
East,2023-04-27,9173.38,3,0,4,27,10790.62,8605.68,12945.944285714286,4831.404303584541
East,2023-04-28,19964.85,4,0,4,28,9173.38,18028.1,13027.044285714286,4750.493167699738
East,2023-04-29,5850.1,5,1,4,29,19964.85,9967.65,13303.722857142857,5131.436521851406
East,2023-04-30,6950.69,6,1,4,30,5850.1,17361.88,12715.50142857143,5773.429441731109
East,2023-05-01,5304.74,0,0,5,1,6950.69,18518.29,11228.18857142857,5717.7274819151335
East,2023-05-02,6359.53,1,0,5,2,5304.74,7349.39,9340.538571428571,5052.2858164512245
East,2023-05-03,15167.71,2,0,5,3,6359.53,10790.62,9199.13,5130.550922457866
East,2023-05-04,7679.71,3,0,5,4,15167.71,9173.38,9824.42857142857,5601.925789105703
East,2023-05-05,5436.86,4,0,5,5,7679.71,19964.85,9611.047142857144,5659.014451146985
East,2023-05-06,14177.23,5,1,5,6,5436.86,5850.1,7535.62,3469.3296007442013
East,2023-05-07,11083.81,6,1,5,7,14177.23,6950.69,8725.210000000001,4154.949306080633
East,2023-05-08,12939.78,0,0,5,8,11083.81,5304.74,9315.655714285715,4154.421583397041
North,2023-01-08,14137.49,6,1,1,8,12822.42,11673.07,14203.861428571428,3789.562050468051
North,2023-01-09,7607.32,0,0,1,9,14137.49,14736.03,14555.921428571428,3626.2138062650993
North,2023-01-10,9191.87,1,0,1,10,7607.32,19370.75,13537.534285714284,4470.03720191401
North,2023-01-11,7733.71,2,0,1,11,9191.87,17774.55,12083.40857142857,3871.7872032410232
North,2023-01-12,17279.82,3,0,1,12,7733.71,14972.58,10649.002857142857,3216.430876845296
North,2023-01-13,18900.18,4,0,1,13,17279.82,8077.63,10978.608571428573,3798.826632367018
North,2023-01-14,12708.56,5,1,1,14,18900.18,12822.42,12524.687142857143,4549.534908089375
North,2023-01-15,16028.16,6,1,1,15,12708.56,14137.49,12508.421428571428,4548.496448254185
North,2023-01-16,17619.53,0,0,1,16,16028.16,7607.32,12778.517142857143,4714.462729646274
North,2023-01-17,6740.58,1,0,1,17,17619.53,9191.87,14208.832857142857,4391.857186323016
North,2023-01-18,7221.01,2,0,1,18,6740.58,7733.71,13858.64857142857,4924.03862801132
North,2023-01-19,13229.73,3,0,1,19,7221.01,17279.82,13785.405714285715,5032.937514500045
North,2023-01-20,14547.44,4,0,1,20,13229.73,18900.18,13206.82142857143,4791.264377640584
North,2023-01-21,9421.46,5,1,1,21,14547.44,12708.56,12585.001428571428,4171.602241407284
North,2023-01-22,15854.72,6,1,1,22,9421.46,16028.16,12115.415714285715,4337.102412351888
North,2023-01-23,13089.25,0,0,1,23,15854.72,17619.53,12090.638571428572,4311.443597363604
North,2023-01-24,5914.53,1,0,1,24,13089.25,6740.58,11443.455714285714,3629.2317865211144
North,2023-01-25,8394.86,2,0,1,25,5914.53,7221.01,11325.448571428571,3816.2468458658377
North,2023-01-26,16217.45,3,0,1,26,8394.86,13229.73,11493.141428571429,3626.9253980813583
North,2023-01-27,9395.77,4,0,1,27,16217.45,14547.44,11919.958571428573,4019.86045688748
North,2023-01-28,9990.29,5,1,1,28,9395.77,9421.46,11184.005714285715,3929.2100900005216
North,2023-01-29,9161.3,6,1,1,29,9990.29,15854.72,11265.267142857143,3892.3925260552123
North,2023-01-30,10635.42,0,0,1,30,9161.3,13089.25,10309.064285714285,3363.2239082853093
North,2023-01-31,12852.39,1,0,1,31,10635.42,5914.53,9958.517142857143,3146.017130021781
North,2023-02-01,10007.45,2,0,2,1,12852.39,8394.86,10949.64,2724.24115337342
North,2023-02-02,12063.89,3,0,2,2,10007.45,16217.45,11180.009999999998,2533.714926078572
North,2023-02-03,10582.33,4,0,2,3,12063.89,9395.77,10586.644285714285,1381.975033805572
North,2023-02-04,13290.1,5,1,2,4,10582.33,9990.29,10756.152857142855,1280.6141054550678
North,2023-02-05,9566.86,6,1,2,5,13290.1,9161.3,11227.554285714286,1533.9840275880467
North,2023-02-06,18414.66,0,0,2,6,9566.86,10635.42,11285.49142857143,1448.196794355297
North,2023-02-07,16754.3,1,0,2,7,18414.66,12852.39,12396.811428571427,3009.4537265060176
North,2023-02-08,16953.51,2,0,2,8,16754.3,10007.45,12954.227142857142,3438.653788367934
North,2023-02-09,6503.2,3,0,2,9,16953.51,12063.89,13946.521428571428,3448.7744551044434
North,2023-02-10,19686.24,4,0,2,10,6503.2,10582.33,13152.137142857144,4449.825455238719
North,2023-02-11,13755.65,5,1,2,11,19686.24,13290.1,14452.695714285714,4882.897068762413
North,2023-02-12,16947.69,6,1,2,12,13755.65,9566.86,14519.202857142856,4867.569281091313
North,2023-02-13,5987.18,0,0,2,13,16947.69,18414.66,15573.607142857143,4392.206269472152
North,2023-02-14,18230.18,1,0,2,14,5987.18,16754.3,13798.252857142856,5439.265876187442
North,2023-02-15,17375.54,2,0,2,15,18230.18,16953.51,14009.092857142856,5599.200368218407
North,2023-02-16,13127.26,3,0,2,16,17375.54,6503.2,14069.382857142857,5638.3241961677295
North,2023-02-17,11874.0,4,0,2,17,13127.26,19686.24,15015.677142857141,4620.901080426898
North,2023-02-18,13960.95,5,1,2,18,11874.0,13755.65,13899.642857142857,4231.894984317365
North,2023-02-19,19215.32,6,1,2,19,13960.95,16947.69,13928.971428571429,4231.442118570722
North,2023-02-20,12254.37,0,0,2,20,19215.32,5987.18,14252.918571428572,4573.999736964095
